videocard_name,price,g3d_mark,videocard_value,g2d_mark,tdp,power_perf,vram,test_date,category
GeForce RTX 3050 A Laptop GPU,,"11,664",,526,35,333.25,4096,Sep 2024,Mobile
EIZO Quadro MED XN72,,"9,037",,661,,,,Sep 2024,Desktop
USB Mobile Monitor Virtual Display,,"15,222",,755,,,,Aug 2024,Unknown
Ryzen 9 9950X 16 Core Processor,,"1,770",,613,,,,Aug 2024,Unknown
RTX A400,,"5,943",,893,,,,Aug 2024,Desktop
RTX 5880 Ada Generation,,"23,751",,666,,,,Aug 2024,Desktop
Radeon RX 6650M XT,,"17,071",,688,,,,Aug 2024,Mobile
Radeon 890M,,"8,270",,981,,,,Aug 2024,Mobile
Radeon 880M,,"7,676",,983,,,,Aug 2024,Mobile
Intel UHD 770,,"1,017",,673,,,,Aug 2024,Desktop
Intel Arc Pro,,"5,775",,700,,,,Aug 2024,Desktop
Custom GPU 0932,,"3,255",,343,,,,Aug 2024,Desktop
Ryzen 5 7430U with Radeon Graphics,,"2,270",,586,,,,Jul 2024,Unknown
RTX A1000,,"10,764",,"1,098",,,,Jul 2024,Desktop
Radeon Ryzen 5 PRO 6650H,,"2,679",,580,,,,Jul 2024,Unknown
Radeon EPYC 4124P 4 Core,,"1,322",,481,,,,Jul 2024,Desktop
Qualcomm Adreno X1 85 GPU,,"2,982",,474,,,,Jul 2024,Desktop
Intel HD 4600 manual gen9_2015 134121,,620,,334,,,,Jul 2024,Desktop
Snapdragon X Elite   X1E84100   Qualcomm Adreno GP,,"2,981",,518,,,,Jun 2024,Desktop
Snapdragon X Elite   X1E80100   Qualcomm Adreno GP,,"2,604",,497,,,,Jun 2024,Desktop
Snapdragon X Elite   X1E78100   Qualcomm Adreno GP,,"2,566",,462,,,,Jun 2024,Desktop
Radeon Ryzen 9 6900HS Creator Edition,,"5,156",,710,,,,Jun 2024,Unknown
L40 8Q,,"11,670",,463,,,,Jun 2024,Desktop
Intel UHD 630,,615,,166,,,,Jun 2024,Desktop
ZX C960 GPU,,64,,116,,,,May 2024,Desktop
ZX C 1190,,347,,126,,,,May 2024,Desktop
VNC Mirror Driver,,"5,764",,415,,,,May 2024,Unknown
SuperDisplay Virtual Adapter,,"10,390",,579,,,,May 2024,Unknown
Snapdragon X Plus   X1P64100   Qualcomm Adreno GPU,,"2,602",,345,,,,May 2024,Desktop
Sangfor TitanGPU controller,,63,,64,,,,May 2024,Desktop
Ryzen 7 Pro 7735U with Radeon Graphics,,"5,142",,628,,,,May 2024,Unknown
Ryzen 5 Pro 7535U with Radeon Graphics,,"3,750",,688,,,,May 2024,Unknown
Ryzen 3 7335U with Radeon Graphics,,"1,980",,709,,,,May 2024,Unknown
RTX 2000E Ada Generation,,"14,396",,997,,,,May 2024,Desktop
RTX 2000 Ada Generation Embedded GPU,,"15,505",,681,,,,May 2024,Desktop
RadeonT 660M,,"2,221",,755,,,,May 2024,Mobile
Radeon TM,,"5,568",,696,,,,May 2024,Desktop
Radeon Ryzen 7 PRO 5800H,,"2,981",,796,,,,May 2024,Desktop
Radeon Ryzen 5 5500H,,"1,551",,569,,,,May 2024,Unknown
Radeon Ryzen 3 7335U,,"2,158",,686,,,,May 2024,Desktop
Radeon EPYC 4584PX 16 Core,,"1,662",,559,,,,May 2024,Desktop
Radeon EPYC 4564P 16 Core,,"1,375",,395,,,,May 2024,Desktop
Radeon EPYC 4484PX 12 Core,,"1,620",,551,,,,May 2024,Desktop
Radeon EPYC 4464P 12 Core,,"1,331",,502,,,,May 2024,Desktop
Radeon EPYC 4364P 8 Core,,"1,003",,292,,,,May 2024,Desktop
Radeon EPYC 4344P 8 Core,,"1,635",,548,,,,May 2024,Desktop
Radeon EPYC 4244P 6 Core,,"1,424",,541,,,,May 2024,Desktop
Qualcomm Adreno 8cx Gen 3 GPU,,"1,909",,420,,,,May 2024,Desktop
Parsec Virtual Display Adapter,,"15,332",,870,,,,May 2024,Unknown
OrayIddDriver Device,,"18,852",,879,,,,May 2024,Unknown
L4 4Q,,"4,927",,96,,,,May 2024,Desktop
L4 24Q,,"4,767",,98,,,,May 2024,Desktop
Intel Arc 140T GPU,,"6,812",,861,,,,May 2024,Desktop
GRID T4 1B,,"1,731",,65,,,,May 2024,Desktop
GRID RTX6000 6Q,,"21,987",,782,,,,May 2024,Desktop
GRID P4 1Q,,730,,74,,,,May 2024,Desktop
Glenfly Arise GT 10C0,,"1,007",,389,,,,May 2024,Desktop
GeForce RTX 5060,299.99,"20,891",69.64,"1,154",170,122.89,8192,May 2024,Desktop
EIZO MED XN43,,"3,843",,767,,,,May 2024,Desktop
A16 4Q,,"4,386",,90,,,,May 2024,Desktop
A16 2B,,"2,317",,58,,,,May 2024,Desktop
Winsta0\Default,,"4,125",,250,,,,Apr 2024,Desktop
Virtual Display Device,,"1,583",,338,,,,Apr 2024,Unknown
Ryzen3 5300U Ryzen 3 5300U,,"1,268",,445,,,,Apr 2024,Unknown
RTXA5000 6Q,,"1,522",,71,,,,Apr 2024,Desktop
RTX 500 Ada Generation Laptop GPU,,"10,944",,515,,,,Apr 2024,Mobile
Radeon with 3 5300U Ryzen 3 5300U,,"1,266",,449,,,,Apr 2024,Unknown
Radeon Ryzen Embedded V2546,,"1,435",,358,,,,Apr 2024,Desktop
Radeon Ryzen 5 7430U,,"2,487",,615,,,,Apr 2024,Desktop
Radeon RX 6750 GRE 10GB,,"18,411",,945,,,,Apr 2024,Unknown
GRID P40 1A,,"4,909",,63,,,,Apr 2024,Desktop
ZX C 1080,,316,,141,,,,Mar 2024,Unknown
RTX 2000 Ada Generation,,"17,135",,"1,090",,,,Mar 2024,Unknown
RTX 1000 Ada Generation Laptop GPU,,"13,413",,559,,,,Mar 2024,Mobile
RDPDD Chained DD,,238,,8,,,,Mar 2024,Unknown
Radeon Ryzen 9 PRO 6950H,,"5,781",,896,,,,Mar 2024,Unknown
Radeon Ryzen 3 PRO 7335U,,"1,992",,669,,,,Mar 2024,Unknown
Radeon Ryzen 3 PRO 5475U,,"1,541",,519,,,,Mar 2024,Unknown
L40S,,"20,023",,708,,,,Mar 2024,Unknown
GeForce RTX 4090 D,,"32,260",,986,,,,Mar 2024,Unknown
RadeonT 760M,,"5,846",,760,,,,Feb 2024,Mobile
